圧空圧力[MPa],成形面積：巾100[mm] x 流100[mm],成形面積：巾200[mm] x 流200[mm],成形面積：巾300[mm] x 流300[mm],成形面積：巾400[mm] x 流400[mm],成形面積：巾500[mm] x 流500[mm],成形面積：巾600[mm] x 流600[mm]
0,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004
0.0098,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004
0.0196,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004
0.0294,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004
0.0392,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004
0.049,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004
0.0588,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.05099937296551063
0.0686,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.059499268459762396
0.0784,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.06799916395401417
0.0882,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.05312434683907357,0.07649905944826595
0.098,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.05902705204341508,0.0849989549425177
0.10779999999999999,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.06492975724775657,0.09349885043676948
0.1176,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.07083246245209808,0.10199874593102126
0.12739999999999999,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.07673516765643959,0.110498641425273
0.1372,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.052888238630899906,0.08263787286078109,0.11899853691952479
0.147,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.056665969961678476,0.0885405780651226,0.12749843241377656
0.1568,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.060443701292457026,0.09444328326946412,0.13599832790802835
0.1666,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.06422143262323561,0.10034598847380564,0.1444982234022801
0.1764,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.06799916395401417,0.10624869367814714,0.1529981188965319
0.1862,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.07177689528479272,0.11215139888248862,0.16149801439078362
0.196,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.07555462661557129,0.11805410408683016,0.1699979098850354
0.20579999999999998,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.07933235794634984,0.12395680929117164,0.17849780537928717
0.21559999999999999,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.08311008927712843,0.12985951449551314,0.18699770087353895
0.2254,0.049980000000000004,0.049980000000000004,0.049980000000000004,0.08688782060790698,0.13576221969985466,0.1954975963677907
0.2352,0.049980000000000004,0.049980000000000004,0.05099937296551063,0.09066555193868557,0.14166492490419616,0.20399749186204252
0.245,0.049980000000000004,0.049980000000000004,0.05312434683907357,0.09444328326946412,0.14756763010853766,0.21249738735629428
0.25479999999999997,0.049980000000000004,0.049980000000000004,0.0552493207126365,0.09822101460024267,0.15347033531287918,0.220997282850546
0.2646,0.049980000000000004,0.049980000000000004,0.057374294586199456,0.10199874593102126,0.15937304051722068,0.22949717834479783
0.2744,0.049980000000000004,0.049980000000000004,0.059499268459762396,0.10577647726179981,0.16527574572156217,0.23799707383904958
0.2842,0.049980000000000004,0.049980000000000004,0.061624242333325335,0.1095542085925784,0.17117845092590372,0.24649696933330134
0.294,0.049980000000000004,0.049980000000000004,0.06374921620688828,0.11333193992335695,0.1770811561302452,0.2549968648275531
0.3038,0.049980000000000004,0.049980000000000004,0.06587419008045123,0.1171096712541355,0.18298386133458672,0.2634967603218049
0.3136,0.049980000000000004,0.049980000000000004,0.06799916395401417,0.12088740258491405,0.18888656653892824,0.2719966558160567
0.32339999999999997,0.049980000000000004,0.049980000000000004,0.0701241378275771,0.12466513391569262,0.19478927174326974,0.2804965513103084
0.3332,0.049980000000000004,0.049980000000000004,0.07224911170114005,0.12844286524647122,0.2006919769476113,0.2889964468045602
0.34299999999999997,0.049980000000000004,0.049980000000000004,0.07437408557470297,0.13222059657724974,0.2065946821519527,0.2974963422988119
0.3528,0.049980000000000004,0.049980000000000004,0.07649905944826595,0.13599832790802835,0.21249738735629428,0.3059962377930638
0.3626,0.049980000000000004,0.049980000000000004,0.07862403332182887,0.13977605923880687,0.21840009256063578,0.31449613328731546
0.3724,0.049980000000000004,0.049980000000000004,0.08074900719539181,0.14355379056958545,0.22430279776497725,0.32299602878156725
0.3822,0.049980000000000004,0.049980000000000004,0.08287398106895476,0.147331521900364,0.2302055029693188,0.33149592427581903
0.392,0.049980000000000004,0.049980000000000004,0.0849989549425177,0.15110925323114258,0.23610820817366032,0.3399958197700708
0.4018,0.049980000000000004,0.049980000000000004,0.08712392881608064,0.15488698456192115,0.2420109133780018,0.34849571526432255
0.41159999999999997,0.049980000000000004,0.049980000000000004,0.08924890268964358,0.15866471589269968,0.2479136185823433,0.35699561075857433
0.4214,0.049980000000000004,0.049980000000000004,0.09137387656320656,0.1624424472234783,0.2538163237866849,0.36549550625282623
0.43119999999999997,0.049980000000000004,0.049980000000000004,0.09349885043676948,0.16622017855425686,0.2597190289910263,0.3739954017470779
0.441,0.049980000000000004,0.049980000000000004,0.09562382431033242,0.1699979098850354,0.26562173419536783,0.3824952972413297
0.4508,0.049980000000000004,0.049980000000000004,0.09774879818389536,0.17377564121581396,0.2715244393997093,0.3909951927355814
0.4606,0.049980000000000004,0.049980000000000004,0.09987377205745829,0.17755337254659254,0.2774271446040508,0.39949508822983315
0.4704,0.049980000000000004,0.049980000000000004,0.10199874593102126,0.18133110387737114,0.2833298498083923,0.40799498372408505
0.48019999999999996,0.049980000000000004,0.049980000000000004,0.10412371980458417,0.18510883520814966,0.28923255501273387,0.41649487921833667
0.49,0.049980000000000004,0.049980000000000004,0.10624869367814714,0.18888656653892824,0.2951352602170753,0.42499477471258856
0.49979999999999997,0.049980000000000004,0.049980000000000004,0.10837366755171007,0.1926642978697068,0.30103796542141686,0.4334946702068403
0.5095999999999999,0.049980000000000004,0.049980000000000004,0.110498641425273,0.19644202920048534,0.30694067062575836,0.441994565701092
0.5194,0.049980000000000004,0.05005494013281598,0.11262361529883595,0.20021976053126392,0.31284337583009986,0.4504944611953438
0.5292,0.049980000000000004,0.05099937296551063,0.11474858917239891,0.20399749186204252,0.31874608103444135,0.45899435668959565
0.539,0.049980000000000004,0.05194380579820526,0.11687356304596186,0.20777522319282105,0.32464878623878296,0.46749425218384744
0.5488,0.049980000000000004,0.052888238630899906,0.11899853691952479,0.21155295452359962,0.33055149144312435,0.4724053784987201
0.5586,0.049980000000000004,0.05383267146359455,0.12112351079308771,0.2153306858543782,0.3364541966474659,0.4724053784987201
0.5684,0.049980000000000004,0.0547771042962892,0.12324848466665067,0.2191084171851568,0.34235690185180745,0.4724053784987201
0.5781999999999999,0.049980000000000004,0.055721537128983825,0.12537345854021362,0.2228861485159353,0.3482596070561489,0.4724053784987201
0.588,0.049980000000000004,0.056665969961678476,0.12749843241377656,0.2266638798467139,0.3541623122604904,0.4724053784987201
0.5978,0.049980000000000004,0.05761040279437312,0.1296234062873395,0.23044161117749248,0.360065017464832,0.4724053784987201
0.6076,0.049980000000000004,0.05855483562706775,0.13174838016090246,0.234219342508271,0.36596772266917343,0.4724053784987201
0.6174,0.049980000000000004,0.059499268459762396,0.13387335403446537,0.23799707383904958,0.37187042787351493,0.4724053784987201
0.6272,0.049980000000000004,0.060443701292457026,0.13599832790802835,0.2417748051698281,0.3777731330778565,0.4724053784987201
0.637,0.049980000000000004,0.06138813412515168,0.13812330178159127,0.2455525365006067,0.38367583828219803,0.4724053784987201
0.6467999999999999,0.049980000000000004,0.06233256695784631,0.1402482756551542,0.24933026783138523,0.3895785434865395,0.4724053784987201
0.6566,0.049980000000000004,0.06327699979054097,0.14237324952871716,0.25310799916216387,0.39548124869088097,0.4724053784987201
0.6664,0.049980000000000004,0.06422143262323561,0.1444982234022801,0.25688573049294244,0.4013839538952226,0.4724053784987201
0.6762,0.049980000000000004,0.06516586545593026,0.14662319727584305,0.260663461823721,0.407286659099564,0.4724053784987201
0.6859999999999999,0.049980000000000004,0.06611029828862487,0.14874817114940594,0.2644411931544995,0.4131893643039054,0.4724053784987201
0.6958,0.049980000000000004,0.06705473112131952,0.1508731450229689,0.26821892448527807,0.419092069508247,0.4724053784987201
0.7056,0.049980000000000004,0.06799916395401417,0.1529981188965319,0.2719966558160567,0.42499477471258856,0.4724053784987201
0.7153999999999999,0.049980000000000004,0.06894359678670879,0.1551230927700948,0.27577438714683516,0.43089747991693,0.4724053784987201
0.7252,0.049980000000000004,0.06988802961940344,0.15724806664365773,0.27955211847761374,0.43680018512127156,0.4724053784987201
0.735,0.049980000000000004,0.07083246245209808,0.15937304051722068,0.2833298498083923,0.442702890325613,0.4724053784987201
0.7448,0.049980000000000004,0.07177689528479272,0.16149801439078362,0.2871075811391709,0.4486055955299545,0.4724053784987201
0.7545999999999999,0.049980000000000004,0.07272132811748737,0.1636229882643466,0.2908853124699495,0.454508300734296,0.4724053784987201
0.7644,0.049980000000000004,0.073665760950182,0.16574796213790952,0.294663043800728,0.4604110059386376,0.4724053784987201
0.7742,0.049980000000000004,0.07461019378287666,0.16787293601147246,0.29844077513150663,0.4663137111429791,0.4724053784987201
0.784,0.049980000000000004,0.07555462661557129,0.1699979098850354,0.30221850646228515,0.47221641634732064,0.4724053784987201
0.7938,0.049980000000000004,0.07649905944826593,0.17212288375859838,0.30599623779306373,0.4724053784987201,0.4724053784987201
0.8036,0.049980000000000004,0.07744349228096058,0.17424785763216127,0.3097739691238423,0.4724053784987201,0.4724053784987201
0.8134,0.049980000000000004,0.07838792511365522,0.17637283150572428,0.3135517004546209,0.4724053784987201,0.4724053784987201
0.8231999999999999,0.049980000000000004,0.07933235794634984,0.17849780537928717,0.31732943178539935,0.4724053784987201,0.4724053784987201
0.833,0.049980000000000004,0.0802767907790445,0.1806227792528501,0.321107163116178,0.4724053784987201,0.4724053784987201
0.8428,0.049980000000000004,0.08122122361173915,0.18274775312641311,0.3248848944469566,0.4724053784987201,0.4724053784987201
0.8526,0.049980000000000004,0.0821656564444338,0.184872726999976,0.3286626257777352,0.4724053784987201,0.4724053784987201
0.8623999999999999,0.049980000000000004,0.08311008927712843,0.18699770087353895,0.3324403571085137,0.4724053784987201,0.4724053784987201
0.8722,0.049980000000000004,0.08405452210982306,0.18912267474710187,0.33621808843929224,0.4724053784987201,0.4724053784987201
0.882,0.049980000000000004,0.0849989549425177,0.19124764862066485,0.3399958197700708,0.4724053784987201,0.4724053784987201
0.8917999999999999,0.049980000000000004,0.08594338777521233,0.1933726224942278,0.34377355110084934,0.4724053784987201,0.4724053784987201
0.9016,0.049980000000000004,0.08688782060790698,0.1954975963677907,0.3475512824316279,0.4724053784987201,0.4724053784987201
0.9114,0.049980000000000004,0.08783225344060162,0.19762257024135368,0.3513290137624065,0.4724053784987201,0.4724053784987201
0.9212,0.049980000000000004,0.08877668627329627,0.19974754411491658,0.35510674509318507,0.4724053784987201,0.4724053784987201
0.9309999999999999,0.049980000000000004,0.0897211191059909,0.20187251798847955,0.3588844764239636,0.4724053784987201,0.4724053784987201
0.9408,0.049980000000000004,0.09066555193868557,0.20399749186204252,0.3626622077547423,0.4724053784987201,0.4724053784987201
0.9506,0.049980000000000004,0.09160998477138019,0.20612246573560536,0.36643993908552075,0.4724053784987201,0.4724053784987201
0.9603999999999999,0.049980000000000004,0.09255441760407483,0.20824743960916833,0.3702176704162993,0.4724053784987201,0.4724053784987201
0.9702,0.049980000000000004,0.09349885043676948,0.2103724134827313,0.3739954017470779,0.4724053784987201,0.4724053784987201
0.98,0.049980000000000004,0.09444328326946412,0.21249738735629428,0.3777731330778565,0.4724053784987201,0.4724053784987201