型締シリンダ圧[MPa],型締力[ton]
0,0
0.004724053784987201,0.19999999999999998
0.009448107569974402,0.39999999999999997
0.014172161354961604,0.6
0.018896215139948803,0.7999999999999999
0.023620268924936006,0.9999999999999999
0.02834432270992321,1.2
0.03306837649491041,1.4
0.03779243027989761,1.5999999999999999
0.04251648406488481,1.7999999999999998
0.04724053784987201,1.9999999999999998
0.05196459163485921,2.1999999999999997
0.05668864541984642,2.4
0.061412699204833616,2.5999999999999996
0.06613675298982082,2.8
0.07086080677480802,2.9999999999999996
0.07558486055979521,3.1999999999999997
0.08030891434478242,3.4
0.08503296812976963,3.5999999999999996
0.08975702191475682,3.8
0.09448107569974402,3.9999999999999996
0.09920512948473122,4.199999999999999
0.10392918326971842,4.3999999999999995
0.10865323705470563,4.6
0.11337729083969283,4.8
0.11810134462468003,5
0.12282539840966723,5.199999999999999
0.12754945219465444,5.3999999999999995
0.13227350597964163,5.6
0.13699755976462882,5.8
0.14172161354961604,5.999999999999999
0.14644566733460324,6.199999999999999
0.15116972111959043,6.3999999999999995
0.15589377490457765,6.6
0.16061782868956484,6.8
0.16534188247455206,6.999999999999999
0.17006593625953925,7.199999999999999
0.17478999004452644,7.3999999999999995
0.17951404382951364,7.6
0.18423809761450086,7.799999999999999
0.18896215139948805,7.999999999999999
0.19368620518447524,8.2
0.19841025896946243,8.399999999999999
0.20313431275444963,8.6
0.20785836653943685,8.799999999999999
0.21258242032442404,9
0.21730647410941126,9.2
0.22203052789439845,9.399999999999999
0.22675458167938567,9.6
0.23147863546437286,9.799999999999999
0.23620268924936005,10
0.24092674303434727,10.2
0.24565079681933447,10.399999999999999
0.2503748506043217,10.6
0.2550989043893089,10.799999999999999
0.25982295817429607,10.999999999999998
0.26454701195928326,11.2
0.26927106574427045,11.399999999999999
0.27399511952925765,11.6
0.27871917331424484,11.799999999999999
0.2834432270992321,11.999999999999998
0.2881672808842193,12.2
0.29289133466920647,12.399999999999999
0.29761538845419366,12.6
0.30233944223918086,12.799999999999999
0.3070634960241681,12.999999999999998
0.3117875498091553,13.2
0.3165116035941425,13.399999999999999
0.3212356573791297,13.6
0.32595971116411687,13.799999999999999
0.3306837649491041,13.999999999999998
0.3354078187340913,14.2
0.3401318725190785,14.399999999999999
0.3448559263040657,14.6
0.3495799800890529,14.799999999999999
0.3543040338740401,14.999999999999998
0.3590280876590273,15.2
0.36375214144401447,15.399999999999999
0.3684761952290017,15.599999999999998
0.3732002490139889,15.799999999999999
0.3779243027989761,15.999999999999998
0.3826483565839633,16.2
0.3873724103689505,16.4
0.3920964641539377,16.599999999999998
0.39682051793892487,16.799999999999997
0.40154457172391206,17
0.40626862550889925,17.2
0.4109926792938865,17.4
0.4157167330788737,17.599999999999998
0.4204407868638609,17.799999999999997
0.4251648406488481,18
0.4298888944338353,18.2
0.4346129482188225,18.4
0.4393370020038097,18.599999999999998
0.4440610557887969,18.799999999999997
0.4487851095737841,19
0.45350916335877134,19.2
0.45823321714375853,19.4
0.4629572709287457,19.599999999999998
0.4676813247137329,19.799999999999997
0.4724053784987201,20